"","X","athlete_id","athlete_display_name","position","team_id","season","pie.season","pie.game","games_played","pie.season.f","pie.season.s.p","pie.game.s.p","pct_season_played","pie.season.f.s.p","pie.season.s","pie.game.s","pie.season.f.s","birth_date","season_start","age","availability"
"62",62,25,"Metta World Peace","F",1610612758,2007,6.83685953652191,0.0976694219503129,70,8.00889259992566,1.32353778930548,1.54843067161274,0.853658536585366,1.54843067161274,1.32666303046728,1.55208694747447,1.55208694747447,"1979-11-13","2007-10-01",27,62
"63",63,25,"Metta World Peace","F",1610612758,2008,7.35866111573177,0.129099317819856,57,10.5861440612282,0.774980968564783,1.58290914290814,0.695121951219512,1.58290914290814,0.776806603529375,1.58663802709276,1.58663802709276,"1979-11-13","2008-10-01",28,44
"64",64,25,"Metta World Peace","F",1610612745,2009,6.41948109657061,0.078286354836227,82,6.41948109657061,1.0468718129079,1.01445545792336,1,1.01445545792336,1.04930357417025,1.01681191976954,1.01681191976954,"1979-11-13","2009-10-01",29,83
"65",65,25,"Metta World Peace","F",1610612747,2010,5.19670607043182,0.0519670607043182,100,4.26129897775409,0.705369042424834,0.269089214062873,1.21951219512195,0.269089214062873,0.707022899425365,0.269720139229245,0.269720139229245,"1979-11-13","2010-10-01",30,99
"66",66,25,"Metta World Peace","F",1610612747,2011,3.66417132828709,0.0402656189921658,91,3.3017807573576,0.262895838558468,0.0114228305953838,1.10975609756098,0.0114228305953838,0.263496744116277,0.0114489399565221,0.0114489399565221,"1979-11-13","2011-10-01",31,95
"67",67,25,"Metta World Peace","F",1610612747,2012,2.52502969908566,0.0360718528440808,70,2.95789193321463,0.0535777580166121,-0.117368157422245,0.853658536585366,-0.117368157422245,0.0536943582807827,-0.117623583529407,-0.117623583529407,"1979-11-13","2012-10-01",32,62
"68",68,25,"Metta World Peace","F",1610612747,2013,4.00595357759148,0.0520253711375517,77,4.26608043327924,0.426160565894305,0.400803218617604,0.939024390243902,0.400803218617604,0.427102358348775,0.401688972667206,0.401688972667206,"1979-11-13","2013-10-01",33,73
"69",69,25,"Metta World Peace","F",1610612752,2014,0.516874380775686,0.0178232545095064,29,1.46150686977952,-0.749488733483301,-0.626110474803385,0.353658536585366,-0.626110474803385,-0.751095356406261,-0.627452620984088,-0.627452620984088,"1979-11-13","2014-10-01",34,22
"70",70,25,"Metta World Peace","F",1610612747,2016,0.512624037892262,0.014646401082636,35,1.20100488877616,-0.815019884700448,-0.767503446433051,0.426829268292683,-0.767503446433051,-0.81673391369083,-0.769117545895039,-0.769117545895039,"1979-11-13","2016-10-01",36,26
"71",71,25,"Metta World Peace","F",1610612747,2017,0.0729310811410311,0.00291724324564124,25,0.239213946142582,-0.978491516478779,-1.16268359720035,0.304878048780488,-1.16268359720035,-0.980515285996494,-1.16508832282457,-1.16508832282457,"1979-11-13","2017-10-01",37,20
"72",72,26,"Chucky Atkins","G",1610612765,2002,4.95788499127137,0.0557065729356334,89,4.56793898072194,0.653644564901641,0.372005947414196,1.08536585365854,0.372005947414196,0.655199013148899,0.372890623924915,0.372890623924915,"1974-08-14","2002-10-01",28,93
"73",73,26,"Chucky Atkins","G",1610612765,2003,2.19810445408302,0.0268061518790613,82,2.19810445408302,-0.31876894773708,-0.47026905239703,1,-0.47026905239703,-0.319537993360767,-0.471403599407549,-0.471403599407549,"1974-08-14","2003-10-01",29,82
"74",74,26,"Chucky Atkins","G",1610612738,2004,2.89586386566325,0.0425862333185772,68,3.49207113212333,-0.0665770210449821,0.0312708184223868,0.829268292682927,0.0312708184223867,-0.0667338575898629,0.0313444835855314,0.0313444835855313,"1974-08-14","2004-10-01",30,59
"75",75,26,"Chucky Atkins","G",1610612747,2005,5.04288253583795,0.0614985675102188,82,5.04288253583795,0.60915636842781,0.529554435909001,1,0.529554435909,0.610571367705845,0.530784529171303,0.530784529171303,"1974-08-14","2005-10-01",31,82
"76",76,26,"Chucky Atkins","G",1610612763,2006,3.02269199672644,0.0403025599563525,75,3.30480991642091,-0.0273762593830187,-0.0868626413623309,0.914634146341463,-0.0868626413623309,-0.0274401480565642,-0.0870653549200764,-0.0870653549200763,"1974-08-14","2006-10-01",32,70
"77",77,26,"Chucky Atkins","G",1610612763,2007,4.64433121530728,0.061924416204097,75,5.07780212873595,0.537917407702819,0.543449336915197,0.914634146341463,0.543449336915197,0.539187580445738,0.544732572082944,0.544732572082944,"1974-08-14","2007-10-01",33,70
