"","player_id","season","fantasy_points_season","games_played","position","goals","assists","points","penalty_minutes","shots_on_goal","blocks","giveaways","takeaways","powerplay_goals","shorthanded_goals","shots","shots_blocked","faceoffs_won","faceoffs_lost","fpts.game","fpts.season","pct.season.played","goals_per_game","assists_per_game","points_per_game","shots_per_game","shots_on_goal_per_game","pp_goals_per_game","sh_goals_per_game","blocks_per_game","takeaways_per_game","giveaways_per_game","pim_per_game","shots_blocked_per_game","faceoffs_taken","faceoff_win_pct","position_value","minutes_played","shots_against","goals_against","saves","save_percent","shutout","fantasy_points","minutes_per_game","saves_per_game","shots_against_per_game","goals_against_avg","estimated_wins","win_pct","quality_start_threshold","is_quality_start","league_avg_save_pct","expected_goals_against","gsaa","birth_year","player_name","age"
"1",1020524,2022,19,9,"Forward",3,0,3,8,15,1,3,4,0,0,16,1,8,11,2.11111111111111,63.3333333333333,0.3,0.333333333333333,0,0.333333333333333,1.77777777777778,1.66666666666667,0,0,0.111111111111111,0.444444444444444,0.333333333333333,0.888888888888889,0.111111111111111,19,42.1052631578947,2.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,"Claudia Kepler",27
"2",1020524,2023,73.5,26,"Forward",10,6,16,10,58,2,1,1,2,0,64,6,3,2,2.82692307692308,84.8076923076923,0.866666666666667,0.384615384615385,0.230769230769231,0.615384615384615,2.46153846153846,2.23076923076923,0.0769230769230769,0,0.0769230769230769,0.0384615384615385,0.0384615384615385,0.384615384615385,0.230769230769231,5,60,3.94230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,"Claudia Kepler",28
"3",1020560,2021,16.5,7,"Forward",0,2,2,2,20,2,6,3,0,0,27,7,12,12,2.35714285714286,70.7142857142857,0.233333333333333,0,0.285714285714286,0.285714285714286,3.85714285714286,2.85714285714286,0,0,0.285714285714286,0.428571428571429,0.857142857142857,0.285714285714286,1,24,50,2.42857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,"Natalie Marcuzzi",23
"4",1020560,2022,31,12,"Forward",3,2,5,4,28,2,12,6,0,0,32,4,33,29,2.58333333333333,77.5,0.4,0.25,0.166666666666667,0.416666666666667,2.66666666666667,2.33333333333333,0,0,0.166666666666667,0.5,1,0.333333333333333,0.333333333333333,62,53.2258064516129,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,"Natalie Marcuzzi",24
"5",1034117,2022,51,17,"Defense",2,7,9,8,47,4,12,9,2,0,55,8,0,0,3,90,0.566666666666667,0.117647058823529,0.411764705882353,0.529411764705882,3.23529411764706,2.76470588235294,0.117647058823529,0,0.235294117647059,0.529411764705882,0.705882352941177,0.470588235294118,0.470588235294118,0,NA,4.41176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,"Kali Flanagan",27
"6",1034117,2023,71.5,23,"Defense",3,13,16,8,59,8,5,6,0,0,76,17,0,0,3.10869565217391,93.2608695652174,0.766666666666667,0.130434782608696,0.565217391304348,0.695652173913043,3.30434782608696,2.56521739130435,0,0,0.347826086956522,0.260869565217391,0.217391304347826,0.347826086956522,0.739130434782609,0,NA,5.55652173913043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,"Kali Flanagan",28
"7",1041273,2017,0,3,"Forward",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Mary Parker",24
"8",1041273,2018,11.5,16,"Forward",1,4,5,6,1,0,0,0,0,0,0,0,0,0,0.71875,21.5625,0.533333333333333,0.0625,0.25,0.3125,0,0.0625,0,0,0,0,0,0.375,0,0,NA,1.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Mary Parker",25
"9",1041273,2019,10.5,10,"Forward",3,0,3,0,3,0,0,0,0,0,3,0,0,0,1.05,31.5,0.333333333333333,0.3,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Mary Parker",26
"10",1041273,2020,123,18,"Forward",15,10,25,8,85,5,21,24,2,0,95,10,161,143,6.83333333333333,205,0.6,0.833333333333333,0.555555555555556,1.38888888888889,5.27777777777778,4.72222222222222,0.111111111111111,0,0.277777777777778,1.33333333333333,1.16666666666667,0.444444444444444,0.555555555555556,304,52.9605263157895,9.45358187134503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Mary Parker",27
"11",1041273,2021,17,6,"Forward",2,2,4,0,10,2,7,2,0,0,11,1,0,1,2.83333333333333,85,0.2,0.333333333333333,0.333333333333333,0.666666666666667,1.83333333333333,1.66666666666667,0,0,0.333333333333333,0.333333333333333,1.16666666666667,0,0.166666666666667,1,0,3.41666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Mary Parker",28
"12",1041273,2022,31,11,"Forward",2,3,5,2,33,1,7,4,0,0,37,4,0,0,2.81818181818182,84.5454545454545,0.366666666666667,0.181818181818182,0.272727272727273,0.454545454545455,3.36363636363636,3,0,0,0.0909090909090909,0.363636363636364,0.636363636363636,0.181818181818182,0.363636363636364,0,NA,3.31818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,"Mary Parker",29
"13",1041703,2021,2.5,1,"Forward",0,0,0,0,5,0,0,0,0,0,5,0,0,0,2.5,75,0.0333333333333333,0,0,0,5,5,0,0,0,0,0,0,0,0,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,"Melissa Samoskevich",24
"14",1041703,2022,25.5,9,"Forward",1,1,2,0,34,3,0,3,1,0,39,5,1,0,2.83333333333333,85,0.3,0.111111111111111,0.111111111111111,0.222222222222222,4.33333333333333,3.77777777777778,0.111111111111111,0,0.333333333333333,0.333333333333333,0,0,0.555555555555556,1,100,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,"Melissa Samoskevich",25
"15",1041703,2023,94,27,"Forward",8,10,18,11,85,10,3,2,3,0,95,10,0,1,3.48148148148148,104.444444444444,0.9,0.296296296296296,0.37037037037037,0.666666666666667,3.51851851851852,3.14814814814815,0.111111111111111,0,0.37037037037037,0.0740740740740741,0.111111111111111,0.407407407407407,0.37037037037037,1,0,4.59259259259259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,"Melissa Samoskevich",26
"16",1066549,2016,31,20,"Defense",2,6,8,22,24,0,0,0,2,0,35,0,0,1,1.55,46.5,0.666666666666667,0.1,0.3,0.4,1.75,1.2,0.1,0,0,0,0,1.1,0,1,0,2.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Kiira Dosdall-Arena",29
"17",1066549,2017,13,18,"Defense",2,3,5,16,2,0,0,0,0,0,0,0,0,0,0.722222222222222,21.6666666666667,0.6,0.111111111111111,0.166666666666667,0.277777777777778,0,0.111111111111111,0,0,0,0,0,0.888888888888889,0,0,NA,0.944444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Kiira Dosdall-Arena",30
"18",1066549,2018,20,18,"Defense",0,10,10,12,0,0,0,0,0,0,0,0,0,0,1.11111111111111,33.3333333333333,0.6,0,0.555555555555556,0.555555555555556,0,0,0,0,0,0,0,0.666666666666667,0,0,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Kiira Dosdall-Arena",31
"19",1066549,2019,2,18,"Defense",0,1,1,6,0,0,0,0,0,0,0,0,0,0,0.111111111111111,3.33333333333333,0.6,0,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0.333333333333333,0,0,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Kiira Dosdall-Arena",32
