"","X","athlete_display_name","athlete_id","position","season","pie.season","pie.game","games_played","pie.season.f","pie.season.s.p","pie.game.s.p","pct_season_played","pie.season.f.s.p","pie.season.s","pie.game.s","pie.season.f.s","birth_date","season_start","age","availability"
"935",935,"Kristin Haynie",636,NA,2006,1.43785408877841,0.0350696119214246,41,1.54306292454268,0.529776295156875,0.265327971564314,0.931818181818182,0.265327971564314,0.529776295156875,0.265327971564314,0.265327971564314,"1983-06-17","2006-05-01",22,99
"936",936,"Kristin Haynie",636,NA,2007,0.642964384841554,0.0173774158065285,37,0.764606295487254,-0.0901406677778607,-0.239019915954689,0.840909090909091,-0.239019915954689,-0.0901406677778607,-0.239019915954689,-0.239019915954689,"1983-06-17","2007-05-01",23,95
"937",937,"Kristin Haynie",636,NA,2008,0.876272422593721,0.029209080753124,30,1.28519955313746,0.38381527831921,0.469307536461404,0.681818181818182,0.469307536461404,0.38381527831921,0.469307536461404,0.469307536461404,"1983-06-17","2008-05-01",24,68
"938",938,"Kristin Haynie",636,NA,2009,0.731471817425542,0.0252231661181221,29,1.10981930919737,0.374301039123391,0.212242468111907,0.659090909090909,0.212242468111907,0.374301039123391,0.212242468111907,0.212242468111907,"1983-06-17","2009-05-01",25,65
"939",939,"Chelsea Newton",637,NA,2006,1.00218176475271,0.0417575735313628,24,1.83733323537996,0.131356669131499,0.481086592801022,0.545454545454545,0.481086592801022,0.131356669131499,0.481086592801022,0.481086592801022,"1983-02-17","2006-05-01",23,44
"940",940,"Chelsea Newton",637,NA,2007,0.68464077305876,0.0185038046772638,37,0.814167405799606,-0.0360903403847897,-0.195417199246533,0.840909090909091,-0.195417199246532,-0.0360903403847897,-0.195417199246533,-0.195417199246533,"1983-02-17","2007-05-01",24,96
"941",941,"Chelsea Newton",637,NA,2008,0.574524756905259,0.0198111985139744,29,0.871692734614875,-0.00285325903349163,0.0948829319133785,0.659090909090909,0.0948829319133784,-0.00285325903349168,0.0948829319133785,0.0948829319133784,"1983-02-17","2008-05-01",25,65
"942",942,"Chelsea Newton",637,NA,2009,0.513792804057811,0.0223388175677309,23,0.982907972980161,-0.0193549203472033,0.0840373577881543,0.522727272727273,0.0840373577881542,-0.0193549203472033,0.0840373577881543,0.0840373577881542,"1983-02-17","2009-05-01",26,41
"943",943,"Laura Summerton",639,NA,2006,0.276371864502563,0.00837490498492616,33,0.368495819336751,-0.532391962755702,-0.595863150462799,0.75,-0.595863150462799,-0.532391962755702,-0.595863150462799,-0.595863150462799,"1983-12-13","2006-05-01",22,79
"944",944,"Kara Braxton",640,"F",2006,0.435923559121983,0.0101377571888833,43,0.446061316310866,-1.10694410235774,-1.23435051576828,0.977272727272727,-1.23435051576828,-1.10694410235774,-1.23435051576828,-1.23435051576828,"1983-02-18","2006-05-01",23,95
"945",945,"Kara Braxton",640,"F",2007,1.43575571894928,0.0333896678825414,43,1.46914538683182,-0.323053993865966,-0.567690670609546,0.977272727272727,-0.567690670609546,-0.323053993865966,-0.567690670609546,-0.567690670609546,"1983-02-18","2007-05-01",24,95
"946",946,"Kara Braxton",640,"F",2008,2.05503181238612,0.051375795309653,40,2.26053499362473,0.117766300273882,-0.190774102534582,0.909090909090909,-0.190774102534582,0.117766300273882,-0.190774102534582,-0.190774102534582,"1983-02-18","2008-05-01",25,87
"947",947,"Kara Braxton",640,"F",2009,2.33988055414467,0.0709054713377172,33,3.11984073885956,0.24609360015626,0.308549985664661,0.75,0.308549985664661,0.24609360015626,0.308549985664661,0.308549985664661,"1983-02-18","2009-05-01",26,51
"948",948,"Kara Braxton",640,"F",2010,1.6368918735456,0.0419715865011693,39,1.84674980605145,-0.222319597681478,-0.414928766615149,0.886363636363636,-0.414928766615149,-0.222319597681478,-0.414928766615149,-0.414928766615149,"1983-02-18","2010-05-01",27,85
"949",949,"Kara Braxton",640,"F",2011,1.2516409655553,0.0368129695751558,34,1.61977066130685,-0.386458976927586,-0.464273329418467,0.772727272727273,-0.464273329418467,-0.386458976927586,-0.464273329418467,-0.464273329418467,"1983-02-18","2011-05-01",28,58
"950",950,"Kara Braxton",640,"F",2012,1.46366077221638,0.0406572436726772,36,1.7889187215978,-0.20865346764999,-0.3417826737715,0.818181818181818,-0.3417826737715,-0.20865346764999,-0.3417826737715,-0.3417826737715,"1983-02-18","2012-05-01",29,72
"951",951,"Kara Braxton",640,"F",2013,2.00731772456091,0.0590387566047326,34,2.59770529060824,0.151322598076075,0.138054791515017,0.772727272727273,0.138054791515017,0.151322598076075,0.138054791515017,0.138054791515017,"1983-02-18","2013-05-01",30,58
"952",952,"Kara Braxton",640,"F",2014,0.0803181475022695,0.0200795368755674,4,0.883499622524965,-0.946165166910555,-0.618003020257137,0.0909090909090909,-0.618003020257137,-0.946165166910555,-0.618003020257137,-0.618003020257137,"1983-02-18","2014-05-01",31,3
"953",953,"Janel McCarville",642,"C",2006,1.04753003315413,0.0349176677718042,30,1.53637738195938,-0.270587306846327,-0.162034119218097,0.681818181818182,-0.162034119218097,-0.270587306846327,-0.162034119218097,-0.162034119218097,"1982-11-03","2006-05-01",23,40
